adjective,category
grand,description
petit,description
beau,esthetique
belle,esthetique
joli,esthetique
jeune,temps
vieux,temps
vieille,temps
nouveau,temps
nouvelle,temps
bon,qualite
bonne,qualite
mauvais,qualite
mauvaise,qualite
meilleur,qualite
pire,qualite
gros,description
grande,description
long,description
court,description
haut,description
bas,description
fort,intensite
faible,intensite
riche,possession
pauvre,possession
cher,finance
premier,ordre
dernier,ordre
prochain,ordre
ancien,temps
vrai,verite
faux,verite
même,comparaison
autre,comparaison
différent,comparaison
pareil,comparaison
seul,quantitee
ensemble,quantitee
tout,quantitee
chaque,quantitee
certain,quantitee
simple,complexite
compliqué,complexite
facile,complexite
difficile,complexite
possible,possibilite
impossible,possibilite
important,priorite
utile,utilite
inutile,utilite
nécessaire,priorite
essentiel,priorite
principal,priorite
secondaire,priorite
clair,luminosite
foncé,luminosite
sombre,luminosite
propre,etat
sale,etat
plein,etat
vide,etat
ouvert,etat
fermé,etat
sec,etat
mouillé,etat
chaud,temperature
froid,temperature
tiède,temperature
doux,texture
dur,texture
rapide,vitesse
lent,vitesse
calme,emotion_neutral
bruyant,emotion
heureux,emotion_positive
malheureux,emotion_negative
content,emotion_positive
triste,emotion_negative
fatigué,emotion_negative
énervé,emotion_negative
sympa,personalite
gentil,personalite
méchant,personalite
drôle,humeur_positive
sérieux,humeur_neutral
intéressant,interest
ennuyeux,emotion_negative
amusant,humeur_positive
bizarre,observation
étrange,observation
étranger,observation
curieux,interest
intelligent,intelligence
bête,intelligence
stupide,intelligence
savant,intelligence
sage,intelligence
fou,intelligence
âgé,temps
laid,esthetique
mignon,esthetique
attirant,esthetique
timide,personalite
sociable,personalite
honnête,personalite
malhonnête,personalite
courageux,personalite
peureux,personalite
paresseux,travail
travailleur,travail
actif,action
passif,action
optimiste,humeur_positive
pessimiste,humeur_negative
rêveur,observation
réaliste,observation
jaloux,emotion_negative
fièr,emotion_positive
modeste,personalite
neuf,temps
récent,temps
large,description
étroit,description
profond,description
superficiel,description
près,localisation
loin,localisation
aucun,quantitee
quelque,quantitee
entier,quantitee
complet,quantitee
normal,observation
anormal,observation
ordinaire,observation
extraordinaire,observation
fameux,reputation
célèbre,reputation
connu,reputation
inconnu,reputation
moderne,temps
mou,texture
complexe,complexite
